price,discount_price,area_price,subtitle,address
,27 971 113 ₽,634 266 ₽/м²,"1-комн. квартира, 44,1 м², 2/18 этаж • Секция 10",
,,,,
61 999 000 ₽,,537 719 ₽/м²,"4-комн. квартира, 115,3 м², 4/6 этаж",
,,,,
249 464 600 ₽,,1 169 000 ₽/м²,"3-комн. апартаменты, 213,4 м², 8/8 этаж",
,,,,
41 115 600 ₽,,634 500 ₽/м²,"2-комн. квартира, 64,8 м², 5/42 этаж",
,,,,
68 000 000 ₽,,552 846 ₽/м²,,
,,,,
52 000 000 ₽,,622 754 ₽/м²,"3-комн. квартира, 83,5 м², 2/8 этаж",
,,,,
,57 873 528 ₽,1 037 160 ₽/м²,Секция 1 • Сдача корпуса 1 кв. 2026,
,,,,
11 500 000 ₽,,361 635 ₽/м²,,
,,,,
10 830 000 ₽,,331 193 ₽/м²,,
,,,,
1 681 313 400 ₽,,5 070 306 ₽/м²,Сдача корпуса 2 кв. 2026,
,,,,
13 500 000 ₽,,231 959 ₽/м²,,
,,,,
15 000 000 ₽,,563 910 ₽/м²,,
,,,,
14 433 000 ₽,,289 412 ₽/м²,Секция 1 • Сдача корпуса 3 кв. 2026,
,,,,
12 500 000 ₽,,555 556 ₽/м²,,
,,,,
38 000 000 ₽,,466 830 ₽/м²,"2-комн. квартира, 81,4 м², 2/22 этаж",
,,,,
,89 418 294 ₽,981 540 ₽/м²,Секция 5 • Сдача корпуса 1 кв. 2026,
,,,,
18 999 998 ₽,,730 769 ₽/м²,,
,,,,
16 000 000 ₽,,275 862 ₽/м²,,
,,,,
111 540 000 ₽,,975 000 ₽/м²,"3-комн. квартира, 114,4 м², 9/25 этаж • Секция 1",
,,,,
15 900 000 ₽,,500 000 ₽/м²,,
,,,,
14 750 000 ₽,,741 206 ₽/м²,,
,,,,
59 996 519 ₽,,695 209 ₽/м²,"3-комн. квартира, 86,3 м², 4/56 этаж • Секция C1",
,,,,
400 000 000 ₽,,2 011 061 ₽/м²,,
,,,,
298 000 000 ₽,,2 186 354 ₽/м²,,
,,,,
21 729 100 ₽,,551 500 ₽/м²,"1-комн. квартира, 39,4 м², 4/28 этаж • Секция 3",
,,,,
390 000 000 ₽,,2 328 358 ₽/м²,,
,,,,
95 989 000 ₽,,1 066 544 ₽/м²,"3-комн. квартира, 90 м², 5/6 этаж",
,,,,
17 957 010 ₽,,330 700 ₽/м²,"2-комн. апартаменты, 54,3 м², 2/9 этаж • Секция 10",
,,,,
